
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),Altitude (m),
5.897129,-0.0244,-0.0190,1.0001,-0.0044,-0.0316,0.0379,0.0003,0.0005,0.0021,-11.5500,-9.7875,50.2500,127.0435,1.2637,-1.2398,81.0959,33.41445142,-111.92187883,0.00000000,333.50451660,
5.996419,-0.0185,-0.0229,0.9967,-0.0035,-0.0163,0.0250,0.0024,-0.0027,0.0032,-11.4188,-8.2500,49.9125,127.0047,1.2699,-1.2310,81.0959,33.41445142,-111.92187883,0.00000000,333.50451660,
6.097342,-0.0214,-0.0263,1.0021,-0.0015,0.0215,-0.0029,0.0013,0.0005,0.0021,-12.0563,-8.1938,49.8563,127.0024,1.2685,-1.2281,81.0959,33.41445142,-111.92187883,0.00000000,333.50451660,
6.197403,-0.0239,-0.0234,1.0031,-0.0193,-0.0173,0.0062,0.0024,0.0005,0.0032,-11.3250,-9.0750,49.4250,127.0348,1.2635,-1.2357,78.9421,33.41445142,-111.92187883,0.00000000,333.50451660,
6.298055,-0.0234,-0.0205,1.0011,0.0171,-0.0422,-0.0002,0.0013,0.0005,0.0011,-12.3938,-8.9813,52.1625,127.0229,1.2709,-1.2402,78.9421,33.41445142,-111.92187883,0.00000000,333.50451660,
6.398690,-0.0219,-0.0219,1.0040,0.0081,0.0051,0.0310,0.0013,-0.0016,0.0011,-11.2875,-8.7000,51.1875,127.0009,1.2701,-1.2296,78.9421,33.41445142,-111.92187883,0.00000000,333.50451660,
6.498381,-0.0224,-0.0244,1.0045,-0.0161,0.0218,-0.0088,0.0001,0.0005,-0.0004,-11.7188,-8.6438,50.3250,126.9930,1.2699,-1.2259,76.8832,33.41445142,-111.92187883,0.00000000,333.50451660,
6.598948,-0.0219,-0.0283,1.0050,0.0027,0.0068,0.0200,0.0012,-0.0005,0.0007,-11.8500,-7.2000,49.8188,126.9960,1.2795,-1.2399,76.8832,33.41445142,-111.92187883,0.00000000,333.50451660,
6.699539,-0.0200,-0.0214,1.0040,-0.0128,-0.0305,0.0146,0.0001,-0.0027,-0.0004,-12.3188,-8.4188,48.4500,126.9980,1.2837,-1.2462,76.8832,33.41445142,-111.92187883,0.00000000,333.50451660,
6.805122,-0.0234,-0.0253,1.0045,0.0122,0.0220,-0.0271,0.0012,0.0016,-0.0004,-11.2688,-9.7875,48.5813,126.9756,1.2858,-1.2392,76.6200,33.41445142,-111.92187883,0.00000000,333.50451660,
6.904833,-0.0263,-0.0234,1.0065,-0.0082,0.0089,-0.0233,0.0001,0.0016,0.0017,-11.8125,-8.8313,50.9438,126.9685,1.2920,-1.2443,76.6200,33.41445142,-111.92187883,0.00000000,333.50451660,
7.006378,-0.0239,-0.0205,1.0070,-0.0015,-0.0290,-0.0433,0.0012,-0.0005,-0.0004,-11.7938,-8.3438,48.6375,126.9961,1.2920,-1.2563,76.6200,33.41445142,-111.92187883,0.00000000,333.50451660,
7.106768,-0.0209,-0.0224,1.0075,0.0028,-0.0169,-0.0376,0.0001,-0.0027,-0.0004,-10.5563,-8.9438,51.3563,126.9854,1.2936,-1.2538,80.5576,33.41445142,-111.92187883,0.00000000,333.50451660,
7.206001,-0.0190,-0.0239,1.0040,-0.0083,0.0146,-0.0353,0.0001,-0.0016,-0.0004,-11.5688,-8.5125,51.6375,126.9500,1.2978,-1.2439,80.5576,33.41445142,-111.92187883,0.00000000,333.50451660,
7.306497,-0.0219,-0.0239,1.0016,0.0138,-0.0066,-0.0128,0.0001,0.0016,-0.0004,-11.4938,-8.1938,49.9500,126.9591,1.2987,-1.2490,80.5576,33.41445142,-111.92187883,0.00000000,333.50451660,
7.407077,-0.0214,-0.0214,1.0050,0.0016,-0.0161,-0.0291,0.0012,-0.0005,-0.0004,-11.3063,-9.3563,50.5875,126.9869,1.2983,-1.2607,85.8498,33.41445142,-111.92187883,0.00000000,333.50451660,
7.507656,-0.0219,-0.0249,1.0050,0.0271,0.0056,-0.0370,-0.0009,-0.0005,-0.0004,-12.1688,-7.1250,50.1188,126.9719,1.3003,-1.2567,85.8498,33.41445142,-111.92187883,0.00000000,333.50451660,
7.607052,-0.0200,-0.0249,1.0065,0.0072,0.0467,-0.0732,0.0001,0.0005,0.0007,-11.7000,-8.0625,48.1125,126.9458,1.3050,-1.2515,85.8498,33.41445142,-111.92187883,0.00000000,333.50451660,
7.707795,-0.0200,-0.0258,1.0079,-0.0155,0.0299,-0.0488,0.0001,-0.0005,0.0007,-11.2125,-8.9625,48.9938,126.9626,1.3037,-1.2572,84.6001,33.41445142,-111.92187883,0.00000000,333.50451660,
7.812748,-0.0209,-0.0234,0.9967,0.0143,-0.0270,0.0559,0.0012,-0.0016,-0.0004,-11.3250,-9.3750,50.1563,126.9810,1.3048,-1.2667,84.6001,33.41445142,-111.92187883,0.00000000,333.50451660,
7.911806,-0.0214,-0.0224,0.9987,0.0208,-0.0028,0.0284,0.0012,0.0005,-0.0004,-10.9875,-8.8125,50.2688,126.9606,1.3076,-1.2615,84.6001,33.41445142,-111.92187883,0.00000000,333.50451660,
8.012769,-0.0234,-0.0224,0.9972,0.0074,0.0085,0.0089,0.0001,0.0027,-0.0004,-10.8375,-9.2625,49.4063,126.9536,1.3040,-1.2536,83.8560,33.41445142,-111.92187883,0.00000000,333.50451660,
8.113797,-0.0249,-0.0180,0.9957,0.0071,-0.0292,-0.0145,0.0001,-0.0005,-0.0004,-11.5500,-8.0625,50.8875,126.9750,1.3057,-1.2652,83.8560,33.41445142,-111.92187883,0.00000000,333.50451660,
8.213677,-0.0249,-0.0239,1.0006,-0.0276,0.0087,-0.0393,-0.0009,0.0027,0.0007,-10.9313,-8.6625,49.1625,127.0195,1.3056,-1.2844,83.8560,33.41445142,-111.92187883,0.00000000,333.50451660,
8.313907,-0.0209,0.0133,0.9938,-0.0023,0.3319,0.1764,0.0044,0.0037,-0.0004,-11.5688,-9.1125,48.8250,127.2879,1.2347,-1.3078,85.0033,33.41445142,-111.92187883,0.00000000,333.50451660,
